region,year,anomaly
Southwest Australia,1937,-0.19
Southwest Australia,1938,-0.335
Southwest Australia,1939,-0.161
Southwest Australia,1940,-0.094
Southwest Australia,1941,0.014
Southwest Australia,1942,-0.048
Southwest Australia,1943,-0.227
Southwest Australia,1944,-0.122
Southwest Australia,1945,0.196
Southwest Australia,1946,-0.36
Southwest Australia,1947,-0.38
Southwest Australia,1948,-0.126
Southwest Australia,1949,-0.069
Southwest Australia,1950,0.144
Southwest Australia,1951,-0.382
Southwest Australia,1952,-0.359
Southwest Australia,1953,-0.574
Southwest Australia,1954,-0.461
Southwest Australia,1955,-0.31
Southwest Australia,1956,-0.371
Southwest Australia,1957,-0.369
Southwest Australia,1958,-0.231
Southwest Australia,1959,-0.06
Southwest Australia,1960,-0.557
Southwest Australia,1961,0.156
Southwest Australia,1962,0.13
Southwest Australia,1963,0.063
Southwest Australia,1964,-0.357
Southwest Australia,1965,-0.227
Southwest Australia,1966,-0.176
Southwest Australia,1967,0.052
Southwest Australia,1968,-0.507
Southwest Australia,1969,-0.224
Southwest Australia,1970,-0.229
Southwest Australia,1971,-0.399
Southwest Australia,1972,0.005
Southwest Australia,1973,-0.219
Southwest Australia,1974,0.055
Southwest Australia,1975,0.029
Southwest Australia,1976,0.28
Southwest Australia,1977,-0.015
Southwest Australia,1978,0.349
Southwest Australia,1979,0.058
Southwest Australia,1980,-0.045
Southwest Australia,1981,-0.197
Southwest Australia,1982,-0.199
Southwest Australia,1983,0.332
Southwest Australia,1984,0.263
Southwest Australia,1985,0.343
Southwest Australia,1986,-0.188
Southwest Australia,1987,-0.071
Southwest Australia,1988,0.351
Southwest Australia,1989,0.476
Southwest Australia,1990,0.108
Southwest Australia,1991,0.152
Southwest Australia,1992,0.095
Southwest Australia,1993,-0.043
Southwest Australia,1994,0.219
Southwest Australia,1995,0.138
Southwest Australia,1996,0.169
Southwest Australia,1997,0.3
Southwest Australia,1998,0.272
Southwest Australia,1999,0.553
Southwest Australia,2000,0.539
Southwest Australia,2001,0.217
Southwest Australia,2002,-0.015
Southwest Australia,2003,0.047
Southwest Australia,2004,-0.08
Southwest Australia,2005,-0.064
Southwest Australia,2006,0.005
Southwest Australia,2007,0.115
Southwest Australia,2008,0.356
Southwest Australia,2009,0.1
Southwest Australia,2010,0.293
Southwest Australia,2011,0.827
Southwest Australia,2012,0.69
Southwest Australia,2013,0.607
Southwest Australia,2014,0.347
Southwest Australia,2015,0.385
Southwest Australia,2016,-0.049
Southwest Australia,2017,-0.108
Southwest Australia,2018,0.059
Southwest Australia,2019,-0.068
Southwest Australia,2020,0.149
Southwest Australia,2021,0.202
Southwest Australia,2022,0.405
Southwest Australia,2023,0.344
Southwest Australia,2024,0.611
