incident_id,year,month,state,location,lat,lon,species,activity,outcome,time
1121,2019,9.0,WA,"perth, burns beach",-31.7247,115.7249,White shark,Spearfishing,Uninjured,
1122,2019,10.0,NSW,"seal rocks, lighthouse beach",-32.4436,152.5279,White shark,Boarding,Uninjured,
1123,2019,10.0,WA,"cocos (keeling) islands, direction island",-12.093,96.8783,Other,Swimming,Injured,
1124,2019,10.0,QLD,"bribie island, woorim beach",-27.0609,153.2006,Other,Boarding,Uninjured,
1125,2019,10.0,QLD,"whitsundays, hook passage",-20.1635,148.9492,Other,Snorkelling,Injured,
1126,2019,10.0,QLD,"whitsundays, hook passage",-20.1635,148.9492,Other,Snorkelling,Injured,
1127,2019,11.0,QLD,"bargara, bundaberg",-24.8147,152.4669,Other,Snorkelling,Injured,1900
1128,2019,12.0,WA,exmouth boat harbour,-20.3441,114.143,Other,,Injured,
1129,2019,12.0,NSW,"kiama, killalea beach",-34.6038,150.8676,Other,Boarding,Injured,1900
1130,2019,12.0,QLD,north west island,-23.2943,151.7017,Other,Swimming,Injured,
1131,2020,1.0,NSW,"coffs harbour, gallows beach",-30.3119,153.1427,Bull shark,Boarding,Uninjured,
1132,2020,1.0,WA,"esperance, cull island",-33.9222,121.9032,White shark,Diving,Fatal,
1133,2020,1.0,QLD,north west island,-23.2941,151.7022,Other,Swimming,Injured,
1134,2020,1.0,NSW,"wollongong, windang beach",-34.5343,150.8746,Other,Boarding,Injured,800
1135,2020,1.0,WA,"rottnest island, geordie bay",-31.9908,115.5215,White shark,Snorkelling,Uninjured,1415
1136,2020,2.0,QLD,"lizard island, research station",-14.6787,145.4483,Other,Swimming,Injured,700
1137,2020,4.0,NSW,"kiama, surf beach",-34.6767,150.8545,Bull shark,Boarding,Uninjured,
1138,2020,4.0,QLD,north west island,-23.2907,151.7012,Other,Swimming,Fatal,
1139,2020,4.0,WA,"exmouth, steps surf break, lighthouse bay",-21.8065,114.1178,Bull shark,Boarding,Uninjured,1500
1140,2020,4.0,NSW,"crescent head, killick creek",-31.1873,152.9784,Other,Swimming,Injured,800
1141,2020,5.0,VIC,bells beach,-38.3669,144.2847,Other,Boarding,Injured,
1142,2020,6.0,WA,"ningaloo, tantabiddi beach",-22.6799,113.698,Other,Boarding,Injured,1030
1143,2020,6.0,NSW,"kingscliff, casuarina beach",-28.2778,153.5824,White shark,Boarding,Fatal,1000
1144,2020,6.0,NSW,"central coast, macmasters beach",-33.4999,151.4255,White shark,Boarding,Uninjured,
1145,2020,6.0,NSW,"wollongong, bulli",-34.3457,150.9227,Other,Spearfishing,Uninjured,
1146,2020,6.0,NSW,"wollongong, bulli",-34.3457,150.9227,Other,Spearfishing,Uninjured,
1147,2020,6.0,NSW,"wollongong, bulli",-34.3457,150.9227,Other,Spearfishing,Uninjured,
1148,2020,7.0,QLD,"fraser island, indian head",-25.0066,153.3611,Other,Snorkelling,Fatal,1400
1149,2020,7.0,NSW,"central coast, terrigal",-33.4482,151.4464,Other,Swimming,Uninjured,1915
1150,2020,7.0,NSW,"wooli beach, wilsons headland",-29.8307,153.2862,White shark,Boarding,Fatal,1430
1151,2020,7.0,QLD,"cairns, fitzroy island",-16.9309,145.9874,Other,Swimming,Injured,1100
1152,2020,7.0,WA,"dunsborough, bunker bay",-33.5427,115.0392,White shark,,Injured,
1153,2020,7.0,TAS,"stanley, north west coast",-40.7786,145.3079,White shark,Fishing,Injured,
1154,2020,8.0,NSW,"port macquarie, shelly beach",-31.4538,152.9319,White shark,Boarding,Injured,930
1155,2020,9.0,QLD,"gold coast, greenmount beach",-28.1632,153.5442,White shark,,Fatal,
1156,2020,9.0,NSW,"tweed, cabarita beach",-28.3296,153.5724,White shark,Boarding,Uninjured,1630
1157,2020,9.0,NSW,"port stephens, birubi",-32.7852,152.0754,Other,Standing,Uninjured,550
1158,2020,9.0,NSW,"port stephens, birubi",-32.7851,153.0753,Other,Boarding,Injured,1730
1159,2020,10.0,WA,"esperance, kelps beds, wylie bay",-33.8302,121.9888,White shark,Boarding,Fatal,
1160,2020,10.0,NSW,"sydney, magic point, malabar",-33.9585,151.2656,White shark,Scuba Diving,Injured,1430
1161,2020,10.0,NSW,"sydney, manly, queenscliff",-33.7881,151.2897,Other,Boarding,Uninjured,1920
1162,2020,10.0,QLD,"hinchinbrook island, britomart reef",-18.2511,146.6668,Bull shark,Spearfishing,Injured,1200
1163,2020,11.0,NSW,"port macquarie, town beach",-31.4295,152.9193,Other,Boarding,Injured,600
1164,2020,11.0,WA,"broome, cable beach",-17.9288,122.2095,Bull shark,Boarding,Fatal,845
1165,2020,11.0,QLD,"cape york, magpie reef, princess charlotte bay",-13.7333,143.8667,Other,Fishing,Uninjured,
1166,2020,12.0,SA,"kangaroo island, d'estrees bay",-35.9298,137.6014,White shark,Boarding,Injured,1420
1167,2020,12.0,WA,"broome, cable beach",-17.9288,122.2095,Bull shark,Boarding,Injured,700
1168,2021,1.0,WA,"perth, swan river, point walter reserve, bicton",-32.0117,115.7866,Bull shark,Swimming,Injured,800
1169,2021,1.0,SA,port macdonnell,-38.0522,140.7018,White shark,Snorkeling,Fatal,1700
1170,2021,1.0,NSW,lake macquarie,-33.0833,151.5833,Bull shark,Swimming,Injured,1830
1171,2021,1.0,WA,"melaleuca beach, cowaramup bay, gracetown",-33.864,114.9864,Other,Swimming,Injured,1030
1172,2021,2.0,SA,"adelaide, glenelg beach",-34.9804,138.5131,Other,Surf Ski,Uninjured,
1173,2021,2.0,WA,lancelin back beach,-31.034,115.3356,Other,Boarding,Injured,
1174,2021,3.0,NSW,"sydney, cronulla beach",-34.0557,151.1551,Other,Boarding,Uninjured,800
1175,2021,3.0,WA,cocos (keeling) islands,-12.1949,96.8627,Other,Fishing,Uninjured,
1176,2021,3.0,NSW,merimbula main beach,-36.8976,149.9154,Other,Swimming,Injured,700
1177,2021,3.0,WA,yallingup,-33.6397,115.0263,Other,Boarding,Uninjured,1500
1178,2021,3.0,WA,"hamelin bay, deepene beach, elephant rock",-34.2763,115.052,Other,Spearfishing,Uninjured,
1179,2021,3.0,WA,"coral bay, sandy point, warroora station",-23.325,113.791,Bull shark,Spearfishing,Injured,1220
1180,2021,4.0,WA,dampier boat ramp,-20.6564,116.7081,Other,Swimming,Injured,1540
1181,2021,5.0,NSW,"forster, tuncurry beach",-32.1521,152.5053,White shark,Boarding,Fatal,1100
1182,2021,5.0,WA,quondong beach,-17.5804,122.1571,Tiger shark,Spearfishing,Injured,1120
1183,2021,6.0,WA,"coral bay, five fingers reef",-23.1807,113.7622,Tiger shark,Snorkelling,Injured,
1184,2021,6.0,WA,"leeman, gumtree bay",-29.9453,114.9824,White shark,Spearfishing,Injured,1420
1185,2021,7.0,NSW,crescent head,-31.1864,152.9808,White shark,Boarding,Injured,
1186,2021,7.0,WA,monkey mia,-25.7935,113.7128,Other,Spearfishing,Unknown,
1187,2021,7.0,WA,varanus island,-20.6517,115.5785,Other,Motorised Boating,Injured,
1188,2021,9.0,NSW,"coffs harbour, emerald beach",-30.1759,153.1899,White shark,Boarding,Fatal,1100
1189,2021,9.0,NSW,"coffs harbour, park beach",-30.286,153.1364,Other,Boarding,Injured,
1190,2021,10.0,NSW,"coffs harbour, moonee beach",-30.2042,153.1635,Other,Boarding,Injured,600
1191,2021,10.0,QLD,"whitsundays, hook passage",-20.2665,148.8819,Bull shark,Swimming,Injured,
